%YEAR	MON	DAY	HOUR	MIN	SEC	LAT	LON	DEP	MW	Stk1	Dip1	Rake1	Stk2	Dip2	Rake2	Ptr	Ppl	Ttr	Tpl	Ntr	Npl
1998	12	22	1	17	46	48	-115.2	12	3.85	230	80	25	135	65	169	1	10	95	25	250	63
1999	7	3	1	43	54	47.08	-123.46	45	5.73	165	50	-95	353	40	-84	40	84	259	5	168	4
1999	8	20	13	50	26	44.78	-112.77	14	4.83	137	66	-57	260	40	-140	91	56	204	14	302	29
1999	9	9	11	38	43	38.89	-111.99	12	3.87	215	65	-75	3	29	-119	152	67	294	19	29	14
1999	10	22	17	51	15	38.08	-112.73	6	4	57	66	-57	180	40	-140	11	56	124	14	222	29
1999	12	22	8	3	31	38.76	-111.59	4	3.97	185	65	-95	17	25	-79	85	70	279	20	187	5
2000	1	1	11	22	58	46.87	-78.9	18	4.57	116	68	69	342	30	132	222	20	354	61	124	19
2000	1	30	14	46	53	41.52	-109.81	7	4.1	30	75	80	244	18	123	128	29	286	59	33	10
2000	3	7	2	16	4	39.75	-110.83	13	3.99	273	79	-107	150	20	-35	164	53	17	32	277	16
2000	4	8	11	30	21	46.39	-111.44	11	3.85	200	70	35	97	57	156	326	8	62	39	226	50
2000	4	20	8	46	55	43.95	-74.25	8	3.62	150	54	120	286	46	55	219	5	119	66	311	24
2000	5	24	4	22	6	46.35	-111.39	11	3.99	88	62	139	200	55	35	146	4	51	48	239	42
2000	5	26	21	58	46	42.18	-107.56	12	3.84	130	81	150	225	60	10	181	14	83	27	296	59
2000	5	27	21	58	18	38.33	-108.86	13	3.77	223	77	-149	125	60	-15	88	31	351	11	243	57
2000	6	28	14	28	30	46.69	-113.58	12	4.13	115	70	-155	16	67	-22	336	32	245	2	151	58
2000	9	1	19	2	59	37.7	-115.85	9	3.62	70	85	-20	162	70	-175	24	18	118	10	237	69
2000	10	12	9	32	33	40.53	-119.51	8	3.82	179	60	-145	70	60	-35	35	45	305	0	214	45
2000	11	10	19	14	5	46.4	-111.38	13	3.79	190	80	50	88	41	165	310	24	63	41	198	39
2000	11	19	12	54	30	40.49	-119.51	11	3.93	166	67	-153	65	65	-25	26	35	295	2	203	55
2000	11	24	4	20	6	44.82	-110.59	6	4.46	110	65	-110	331	32	-54	346	64	215	18	119	18
2001	1	18	15	12	34	37.35	-117.14	6	3.86	70	65	-30	174	63	-152	31	38	122	1	214	52
2001	1	26	3	3	19	41.99	-80.83	2	3.85	5	79	159	99	69	12	53	7	321	23	159	66
2001	2	23	21	43	50	38.73	-112.56	10	4.24	8	50	-94	195	40	-85	249	84	101	5	11	3
2001	2	28	18	54	33	47.15	-122.72	56	6.66	5	70	-85	171	21	-103	283	65	91	25	183	5
2001	4	14	2	20	13	56.08	-119.81	15	5.13	114	52	102	275	40	75	196	6	74	79	287	10
2001	4	21	17	18	56	42.92	-111.39	10	5.1	349	47	-105	190	45	-74	185	79	90	1	359	11
2001	5	4	6	42	12	35.19	-92.19	5	4.34	20	85	-165	289	75	-5	245	14	153	7	38	74
2001	7	19	20	15	34	38.74	-111.55	2	4.17	190	65	-100	33	27	-70	80	68	287	19	194	9
2001	9	4	12	45	53	37.15	-104.64	3	4.18	23	61	-96	215	30	-80	279	74	118	15	26	5
2001	9	5	10	52	7	37.14	-104.47	2	4.44	53	71	-73	190	25	-130	347	60	130	24	227	16
2002	1	29	4	36	58	43.58	-110.61	16	3.79	30	80	-15	123	75	-170	346	18	77	3	177	72
2002	1	31	18	17	45	40.28	-107.7	11	3.87	290	70	40	184	53	155	53	11	153	42	312	46
2002	3	24	10	44	7	37.01	-115.1	11	4.06	86	81	-25	180	65	-170	40	24	135	11	247	63
2002	3	31	18	35	1	43.16	-110.73	9	3.7	196	66	-64	325	35	-135	145	60	267	17	4	24
2002	4	20	10	50	44	44.51	-73.66	10	4.97	192	56	97	0	35	80	277	10	127	78	8	6
2002	5	15	17	54	48	42.23	-121.9	12	4.16	144	73	115	265	30	35	214	24	85	55	316	24
2002	6	5	20	17	36	52.85	-74.35	2	3.64	145	55	65	4	42	121	253	7	0	69	160	20
2002	6	18	17	37	17	37.98	-87.8	17	4.49	305	90	-10	35	80	-180	260	7	350	7	125	80
2002	6	29	14	36	4	45.33	-121.68	10	4.15	235	75	20	140	71	164	7	3	98	25	270	65
2002	10	22	4	11	16	43.18	-110.83	11	4.33	355	55	-105	200	38	-70	221	75	96	9	4	12
2002	11	3	20	41	56	42.81	-98.9	8	4.14	90	50	-110	300	44	-68	295	74	194	3	103	15
2002	11	11	23	39	28	32.36	-80.07	9	4	170	50	90	350	40	90	260	5	80	85	170	0
2003	1	3	5	2	12	41.27	-111.82	13	3.87	170	60	-75	322	33	-114	114	71	249	14	342	13
2003	4	17	1	4	19	39.55	-111.88	2	4.13	185	50	-85	357	40	-96	130	84	271	5	2	4
2003	4	29	8	59	37	34.55	-85.5	12	4.59	184	85	165	275	75	5	230	7	138	14	346	74
2003	5	5	16	32	32	37.75	-78.07	5	3.55	3	71	158	100	69	20	52	1	321	29	144	61
2003	5	25	7	32	33	43.1	-101.75	15	3.93	85	60	-130	324	48	-42	302	55	202	7	108	34
2003	5	29	22	52	14	38.26	-117.9	11	3.82	270	85	-15	1	75	-175	225	14	317	7	72	74
2003	6	6	12	29	33	36.89	-88.99	5	4.02	165	85	15	74	75	175	298	7	30	14	183	74
2003	6	8	10	14	54	41.22	-116.36	11	3.79	75	80	85	282	11	116	169	35	339	55	76	5
2003	6	13	11	34	40	47.7	-70.09	9	3.34	80	70	60	319	36	144	192	19	312	55	91	28
2003	8	16	5	9	20	36.8	-91.72	5	3.71	25	80	-165	292	75	-10	249	18	158	3	58	72
2003	8	21	7	46	54	44.09	-110.53	5	4.2	295	55	-100	132	36	-76	171	77	32	9	301	8
2003	9	13	15	22	41	36.85	-104.99	4	4.05	170	55	-100	7	36	-76	46	77	267	9	176	8
2003	11	15	20	11	59	38.22	-117.87	6	4.14	274	85	-10	5	80	-175	229	11	320	3	68	79
2003	11	15	21	19	37	38.22	-117.87	10	4.07	359	76	-159	264	70	-15	223	24	131	4	32	65
2003	11	23	12	19	59	40.73	-115.15	10	4.19	25	50	-90	205	40	-90	295	85	115	5	25	0
2003	12	22	19	15	56	35.7	-121.1	7	6.54	307	56	97	115	35	80	32	10	242	78	123	6
2004	1	7	7	51	38	43.58	-110.39	14	4.77	40	75	-20	135	71	-164	357	25	88	3	185	65
2004	1	7	8	44	21	43.57	-110.38	13	3.95	130	75	-155	33	66	-16	353	28	260	6	159	61
2004	1	7	9	23	47	43.6	-110.35	17	3.79	128	80	-165	35	75	-10	352	18	261	4	159	72
2004	3	17	23	53	7	35.73	-121.07	5	4.62	105	55	70	317	40	116	209	8	324	72	117	16
2004	3	22	12	9	56	36.85	-104.85	4	4.39	175	55	-95	4	35	-83	66	79	269	10	178	4
2004	4	7	15	54	12	43.61	-110.36	8	3.73	311	85	-165	220	75	-5	177	14	85	7	329	74
2004	5	16	1	29	40	37.27	-114.96	6	3.97	350	75	-160	255	71	-16	213	25	122	3	25	65
2004	5	23	9	22	5	32.53	-104.56	3	3.92	345	50	-120	207	48	-59	188	67	96	1	5	23
2004	6	15	8	34	21	36.73	-89.68	2	3.49	175	55	70	27	40	116	279	8	34	72	187	16
2004	6	22	8	55	28	32.53	-104.58	2	3.57	5	70	-110	232	28	-47	246	60	110	22	12	19
2004	6	27	7	0	13	42.2	-120.29	8	4.01	164	64	-114	30	35	-50	35	63	272	16	175	22
2004	6	28	6	10	52	41.44	-88.96	7	4.15	200	90	165	290	75	0	246	11	154	11	20	75
2004	6	30	12	21	45	42.17	-120.3	9	4.63	160	60	-120	29	41	-49	21	62	271	10	176	26
2004	7	12	16	45	0	44.33	-124.49	15	4.67	186	71	97	345	20	70	271	26	107	63	4	7
2004	7	16	3	25	17	36.86	-89.16	5	3.46	43	71	159	140	70	20	92	1	1	28	183	62
2004	7	16	12	17	30	40.63	-95.56	12	3.53	290	55	-135	170	55	-45	140	55	50	0	320	35
2004	7	22	20	26	27	42.19	-120.29	8	4.45	164	64	-114	30	35	-50	35	63	272	16	175	22
2004	8	1	6	50	46	36.89	-104.92	4	4.28	155	65	-120	29	38	-43	22	59	266	15	169	27
2004	8	4	23	55	26	43.69	-78.25	3	3.19	125	65	35	19	59	150	250	4	344	42	156	48
2004	8	14	20	14	43	43.17	-111.02	8	3.63	20	75	-60	134	33	-152	324	51	87	24	192	29
2004	8	16	21	5	54	46.68	-121.5	11	4.02	320	73	148	60	60	20	12	8	276	34	114	54
2004	8	19	6	6	3	44.66	-124.31	23	4.7	155	65	75	7	29	119	256	19	38	67	161	14
2004	8	19	23	51	49	33.18	-86.93	4	3.63	222	61	-84	30	30	-100	146	74	307	15	39	5
2004	8	26	23	11	37	64.76	-86.28	23	4.24	155	60	80	354	31	107	252	14	40	73	160	9
2004	9	12	13	5	19	39.61	-85.75	13	3.83	226	76	164	320	75	15	273	0	183	21	4	69
2004	9	28	17	15	24	35.81	-120.37	8	5.89	140	85	-155	48	65	-6	7	21	271	14	151	65
2004	10	1	19	22	18	37.4	-117.11	9	3.87	355	85	-155	263	65	-6	222	21	126	14	6	65
2004	11	7	6	54	59	38.24	-108.95	9	3.6	67	85	-160	335	70	-5	293	17	199	11	79	69
2004	11	7	11	20	25	32.97	-87.9	3	4.25	246	54	-70	35	40	-115	208	72	323	7	55	16
2004	11	16	18	21	28	42	-120.45	12	3.95	150	75	-130	43	42	-23	20	45	269	20	162	38
2004	11	21	15	50	32	44.35	-114.01	13	3.86	195	60	55	69	45	135	309	9	54	59	214	30
2005	1	28	22	37	7	34.71	-111	4	3.76	229	76	-164	135	75	-15	92	21	2	0	271	69
2005	1	30	11	37	50	34.76	-111.08	3	4	90	65	-100	293	27	-70	340	68	187	19	94	9
2005	2	10	14	4	53	35.75	-90.23	14	4.11	55	80	-165	322	75	-10	279	18	188	3	88	72
2005	3	6	6	17	49	47.75	-69.73	13	4.57	170	60	80	9	31	107	267	14	55	73	175	9
2005	5	1	12	37	32	35.83	-90.15	8	4.22	215	73	148	315	60	20	267	8	171	34	9	54
2005	6	2	11	35	10	36.14	-89.46	15	3.89	155	65	70	16	32	126	260	18	31	64	164	18
2005	6	11	11	16	10	42.27	-120.07	14	3.61	125	60	-125	0	45	-45	344	59	240	8	145	30
2005	6	20	12	21	41	36.95	-88.96	4	3.6	320	80	15	227	75	170	93	3	184	18	353	72
2005	7	26	4	8	36	45.4	-112.55	10	5.47	359	58	-42	115	55	-140	325	51	58	2	149	39
2005	7	26	7	12	46	45.43	-112.61	13	3.84	275	85	-130	179	40	-8	150	37	36	29	279	40
2005	7	27	15	51	46	45.39	-112.62	12	3.99	99	78	-144	0	55	-15	325	34	225	15	115	52
2005	7	28	2	29	30	45.5	-112.43	12	3.54	333	61	-62	105	40	-130	290	63	43	11	138	24
2005	7	29	14	7	18	45.42	-112.6	11	3.52	272	80	-129	170	40	-15	145	41	31	25	279	38
2005	8	7	5	28	34	45.5	-112.57	12	3.68	97	54	-127	330	50	-50	307	60	213	2	122	29
2005	8	10	22	8	17	36.95	-104.86	4	4.88	5	53	-74	160	40	-110	327	76	84	7	176	13
2005	8	12	20	53	48	42.2	-120.04	13	3.95	153	84	-125	55	35	-10	31	41	271	31	157	34
2005	8	25	3	9	41	35.88	-82.8	8	3.65	90	60	-60	221	41	-131	49	62	159	10	254	26
2005	9	16	15	9	44	39	-119.56	12	4.06	200	65	-50	317	46	-144	158	52	262	11	0	36
2005	9	28	5	27	32	44.6	-116.07	11	3.84	71	72	154	170	65	20	122	5	29	31	219	58
2005	9	28	23	18	0	44.56	-115.99	8	3.64	250	90	-140	160	50	0	123	27	17	27	250	50
2005	9	28	23	20	45	44.61	-116.05	8	3.79	170	70	30	69	62	157	298	5	32	35	201	54
2005	9	29	13	50	15	44.49	-116.06	9	3.85	355	75	55	245	38	155	111	22	228	48	5	34
