%%%% from Lund-Snee and Zoback, 2020 Nature Communicaitons (See supplemental information)
%Lon	Lat	Regime	SHmax	Quality 
%%%%%%%%Regime: normal=0.5, strike-slip=1.5, thrust=2.5
%%%%%%%%Quality: A=0.3, B=0.2, C=0.1, D+=0.075, D=0.05
-97.94	32.82	0	47.1859	0.2
-97.24	32.67	0	39.3197	0.3
-98.03	33.61	0	33.11105547	0.3
-98.16	33.63	0	41.18330819	0.3
-98.16	32.88	0	26.8409	0.2
-97.77	33.53	0	56.592	0.2
-98.5	33.65	0	33.43052811	0.2
-97.54	33.23	0	49.677	0.2
-97.1	32.46	0	27.01471444	0.2
-97.25	33.31	0	39.5922	0.2
-97.7	33.44	0	14.45254595	0.2
-98.37	33.58	0	25.6736	0.2
-97.9	33.6	0	21.59055425	0.2
-97.54	33.5	0	26.3252	0.1
-98.12	32.37	0	18.0054	0.1
-97.94	32.45	0	17.5721	0.1
-97.53	33.67	0	27.40891031	0.1
-98	32.81	0	65.9	0.05
-97.55	33.24	0	40.22842361	0.3
-97.35	33.24	0	43.34755635	0.3
-97.38	33.39	0	48.654212	0.3
-97.31	33.27	0	42.4643	0.3
-97.61	33.17	0	46.3828	0.3
-96.6	30.6	0	57.25	0.3
-97.28	33.21	0	38.4208261	0.2
-97.38	33.39	0	40.354092	0.2
-96.4	30.6	0	57.95	0.2
-96.6	30.5	0	53.586	0.2
-97.46	33.45	0	44.895464	0.1
-97.35	33.25	0	21.39095401	0.1
-97.94	32.82	0	42.33	0.1
-97.95	32.82	0	44.5703	0.1
-97.81	32.38	0	48.6667	0.1
-97.58	32.32	0	54.8754	0.1
-103.22	33.46	0	109.58	0.1
-102.23	31.97	0	147.1885	0.05
-102.71	30.88	0	155.2333	0.05
-103.75	31.17	0	20.4647	0.05
-100.55	31.25	0	43.8537	0.05
-101.89	31.75	0	173	0.05
-104.01	31.77	0	32.1897	0.05
-100.41	32.88	0	136.1004	0.05
-101.55	32.97	0	56.4	0.05
-101.97	30.43	0	153.5892	0.3
-102.69	32.13	0	77.2084	0.3
-100.35	28.83	0	38.5312	0.3
-102.2	30.52	0	141.1931	0.2
-102.22	30.53	0	158.4864	0.2
-94.33	32.04	0	79.8531	0.2
-102.67	32.07	0	63.8918	0.2
-94.14	32.31	0	63.82	0.2
-100.16	28.69	0	45.4005	0.2
-102.1	30.49	0	153.7881	0.2
-102.13	30.51	0	175.3048	0.2
-102.14	30.51	0	153.5961	0.1
-102.13	30.51	0	168.8945	0.1
-102.26	30.54	0	133.0583	0.1
-102.25	30.54	0	132.7723	0.1
-102.12	30.5	0	150.0362	0.05
-102.25	30.54	0	132.7219	0.05
-102.25	30.54	0	119.7268	0.05
-104.03	31.95	0	55.6	0.05
-94.27	32.15	0	81.6596	0.05
-101.06	31.1	0	75.0312	0.3
-101.64	31.23	0	81.1482	0.3
-101.63	31.26	0	70.8905	0.3
-102.38	31.69	0	93.1979	0.3
-104.15	31.86	0	86.5658	0.3
-101.15	32.45	0	75.4351	0.3
-97.24	33.3	0	55.8922	0.3
-97.28	33.32	0	32.542	0.3
-100.07	35.52	0	97.6501	0.3
-97.63	33.05	0	9.7636	0.3
-97.31	33.15	0	11.1661	0.3
-97.57	33.33	0	29.2388	0.3
-103.41	30.9	0	137.2659	0.3
-101.11	31.23	0	80	0.3
-103.22	31.26	0	130.3807	0.3
-103.19	31.26	0	133.6766	0.3
-101.62	31.33	0	86.1455	0.3
-103.65	31.74	0	82.087	0.3
-103.62	31.75	0	96.0133	0.3
-102.95	31.78	0	76.7663	0.3
-101.5	31.86	0	70.8821	0.3
-102.39	31.98	0	85.392	0.3
-101.34	32.48	0	64.484	0.3
-102.15	30.51	0	151.7508	0.3
-102.12	30.51	0	164.3336	0.3
-102.15	30.52	0	154.6636	0.3
-104.02	31.47	0	120.7658	0.3
-104.2	31.55	0	88.385	0.3
-104.05	31.61	0	92.6988	0.3
-104.19	31.69	0	104.202	0.3
-102.59	31.91	0	74.3129	0.3
-102.57	31.93	0	79.8149	0.3
-104.04	31.96	0	65.2704	0.3
-102.58	31.96	0	66.2719	0.3
-103.99	31.97	0	65.8902	0.3
-103.99	31.98	0	54.4734	0.3
-102.67	32.06	0	76.1387	0.3
-102.67	32.07	0	54.3771	0.3
-102.71	32.12	0	77.133	0.3
-102.68	32.12	0	74.3032	0.3
-102.73	32.14	0	71.6059	0.3
-97.32	33.31	0	23.1017	0.3
-100.79	36.18	0	92.0364	0.3
-100.68	36.47	0	94.6678	0.3
-100.67	36.47	0	93.6509	0.3
-101.62	30.75	0	65.8516	0.3
-101.77	31.02	0	104.4558	0.3
-96.43	30.59	0	65	0.2
-101.25	31.15	0	70	0.2
-102.08	31.18	0	106	0.2
-101.9	31.18	0	102	0.2
-101.18	31.18	0	77	0.2
-101.89	31.22	0	71.95501183	0.2
-101.12	31.23	0	85	0.2
-101.09	31.23	0	78.3837	0.2
-101.06	31.25	0	82	0.2
-101.13	31.26	0	68	0.2
-101.08	31.26	0	85	0.2
-101.05	31.28	0	75	0.2
-101.13	31.3	0	90	0.2
-102.48	31.4	0	110	0.2
