%%Longitude	Latitude	Strike1	Dip1	Rake1	Strike2	Dip2	Rake2	Depth	Magnitude	SH	FaultingType	Crustal	Clustered	Source	Year	Month	Day	Hour	Minute
-115.21	47.99	45	85	-20	137	70	-175	17	3.81	182.51	1.5	1	0	1	1998	12	22	1	17
-123.46	47.07	165	50	-95	353	40	-84	44	5.7	168.22	0.5	1	0	1	1999	7	3	1	43
-122.73	47.15	17	70	-105	235	25	-55	52	6.63	22.236	0.5	0	0	1	2001	2	28	18	54
-119.81	56.08	111	47	105	270	45	75	15	5.15	190.45	2.5	1	0	1	2001	4	14	2	20
-135.83	66.93	175	85	175	265	85	5	7	4.09	220.22	1.5	1	0	1	2006	2	16	12	28
-142.3	66.28	55	80	-15	148	75	-170	16	4.13	191.83	1.5	1	1	1	2006	2	18	13	1
-129.18	64.91	288	45	85	115	45	95	2	5.38	201.53	2.5	1	0	1	2006	3	5	10	42
-142.37	66.26	166	76	164	260	75	15	14	4.31	213.17	1.5	1	1	1	2006	3	29	3	36
-142.28	66.28	141	76	164	235	75	15	17	4.38	188.17	1.5	1	1	1	2006	8	26	0	50
-141.94	66.32	60	80	15	327	75	170	15	4.2	14.217	1.5	1	1	1	2006	8	27	2	58
-142.35	66.31	230	80	15	137	75	170	15	4.24	184.22	1.5	1	1	1	2006	8	27	3	20
-142.31	66.28	230	80	15	137	75	170	15	4.37	184.22	1.5	1	1	1	2006	9	1	23	44
-137.12	59.42	157	61	132	275	50	40	17	5.37	218.55	2.5	1	0	1	2007	1	9	15	49
-134.41	58.79	176	54	110	325	40	65	12	3.85	251.9	2.5	1	0	1	2007	3	5	18	6
-144.62	69.62	200	70	25	101	67	158	9	4.54	329.89	1.5	1	0	1	2007	4	10	16	34
-144.82	69.64	122	86	140	215	50	5	20	4.84	999	0	1	0	1	2007	4	28	5	20
-142.31	66.27	320	85	175	50	85	5	14	4.3	5.2193	1.5	1	0	1	2007	6	10	18	6
-135.48	66.33	245	85	-15	336	75	-175	19	4.57	21.525	1.5	1	0	1	2007	11	3	15	35
-142.34	66.03	148	86	-145	55	55	-5	12	3.84	999	0	1	0	1	2007	11	3	19	55
-135.55	66.19	25	70	-50	137	44	-150	20	4.03	176.86	1	1	1	1	2007	11	28	12	58
-142.2	66.44	60	70	-35	163	57	-156	15	4.6	204.2	1.5	1	0	1	2007	11	29	22	27
-142.39	66.32	225	85	20	133	70	175	8	3.76	180.8	1.5	1	1	1	2008	1	3	13	53
-136.6	68.14	155	76	159	250	70	15	18	4.92	203.55	1.5	1	0	1	2008	1	17	19	46
-137.13	62.34	320	60	109	105	35	60	11	4.32	36.332	2.5	1	0	1	2008	1	30	10	7
-146.81	69.54	269	76	154	5	65	15	18	4.25	319.14	1.5	1	0	1	2008	3	11	19	42
-141.99	66.48	141	67	-153	40	65	-25	14	4.43	0.061416	1.5	1	0	1	2008	5	17	9	20
-134.09	65.19	125	90	-175	35	85	0	14	3.92	349.89	1.5	1	0	1	2008	5	23	11	42
-137.51	58.69	118	70	105	260	25	55	16	4.24	196.48	2.5	1	0	1	2008	7	1	2	48
-123.78	63.52	330	50	75	173	42	107	11	4.17	70.571	2.5	1	0	1	2008	7	14	15	55
-149.53	64.59	35	60	50	274	48	138	23	3.93	152.23	2.5	1	0	1	2008	7	16	10	12
-142.86	66.07	145	70	-142	40	55	-25	9	3.66	359.41	1	1	0	1	2008	7	30	14	55
-122.75	48.15	350	85	-70	93	21	-166	62	3.84	999	0	0	0	1	2008	7	31	5	2
-137.54	58.66	115	65	60	349	38	137	15	4.39	226.45	2.5	1	0	1	2008	8	3	9	44
-137.51	58.74	120	65	55	359	42	141	14	3.86	234.61	2.5	1	1	1	2008	8	5	9	58
-141.37	61.54	120	70	142	225	55	25	10	3.9	175.59	2	1	0	1	2008	8	5	19	48
-129.03	63.59	250	75	20	155	71	164	12	5.15	21.706	1.5	1	0	1	2008	9	20	5	16
-150.06	63.41	210	55	45	90	55	135	9	4.13	330	2.5	1	0	1	2008	9	24	12	19
-148.74	63.84	70	65	85	262	25	101	15	3.95	163.76	2.5	1	0	1	2008	9	25	19	34
-143.72	60.72	299	66	-97	135	25	-75	17	5.19	301.86	0.5	1	0	1	2008	10	8	9	53
-157.73	66.41	345	75	-25	82	66	-164	16	4.71	124.87	1.5	1	0	1	2008	10	28	14	30
-157.98	66.34	345	80	30	249	61	168	10	4.15	113.94	1.5	1	1	1	2008	11	4	15	46
-142.59	61.62	65	65	80	268	27	110	9	3.65	162.48	2.5	1	0	1	2008	11	6	18	27
-157.57	66.39	350	85	-20	82	70	-175	17	4.61	127.51	1.5	1	1	1	2008	11	15	14	23
-144.79	69.11	117	86	150	210	60	5	11	4.04	167.01	1.5	1	0	1	2008	11	20	11	34
-138.02	60.83	125	60	109	270	35	60	6	4.15	201.33	2.5	1	0	1	2008	12	3	2	47
-164.87	53.66	235	80	35	138	56	168	62	5.19	2.0671	1.5	0	0	1	2009	1	2	14	17
-151.02	63.57	274	64	146	20	60	30	9	4.22	328.07	2	1	0	1	2009	1	17	13	56
-122.58	47.79	218	80	-165	125	75	-10	55	4.52	81.168	1.5	0	0	1	2009	1	30	13	25
-146.33	61.6	222	51	-98	55	40	-80	47	4.41	227.05	0.5	0	0	1	2009	2	15	19	35
-143.8	62.88	170	79	139	270	50	15	13	3.96	225.71	1.5	1	0	1	2009	2	24	16	20
-138.41	61.01	285	70	75	143	25	125	13	4.94	26.518	2.5	1	0	1	2009	3	27	2	58
-138.48	61.05	288	71	107	65	25	50	13	4.08	4.9047	2.5	1	1	1	2009	3	28	14	11
-123.48	47.6	185	60	-65	322	38	-126	46	3.86	351.88	0.5	1	0	1	2009	3	30	7	6
-149.74	61.45	216	55	-87	30	35	-95	49	4.55	34.278	0.5	0	0	1	2009	4	7	20	12
-151.74	63.49	10	65	55	249	42	141	16	4.49	124.61	2.5	1	0	1	2009	4	10	5	50
-137.64	58.71	309	60	87	135	30	95	21	4.47	41.195	2.5	1	0	1	2009	4	16	5	6
-151.31	58.99	184	66	-97	20	25	-75	45	4.9	186.86	0.5	0	0	1	2009	4	30	4	54
-135.11	66.3	226	62	112	5	35	55	12	3.87	300.14	2.5	1	0	1	2009	5	28	13	57
-112.34	48.52	335	55	85	164	35	97	2	3.16	68.586	2.5	1	0	1	2009	5	29	18	16
-136.66	58.77	32	57	130	155	50	45	15	4.75	94.896	2.5	1	0	1	2009	6	7	23	24
-150.7	61.94	141	58	-138	25	55	-40	63	5.34	352.71	1	0	0	1	2009	6	22	19	28
-150.66	61.93	143	86	-140	50	50	-5	58	4.04	999	0	0	1	1	2009	6	23	14	27
-151.81	66	215	65	-30	319	63	-152	15	3.81	357.23	1.5	1	0	1	2009	6	30	18	52
-150.86	61.23	337	83	119	80	30	15	66	4.9	999	0	0	0	1	2009	8	19	18	19
-148.32	63.47	60	71	120	180	35	35	12	3.9	127.84	2.5	1	0	1	2009	8	28	21	42
-147.12	60.89	195	70	-70	328	28	-133	27	4.3	7.904	0.5	0	0	1	2009	9	21	10	41
-145.16	63.34	260	55	60	125	45	126	13	3.84	10.805	2.5	1	0	1	2009	10	13	13	3
-131.4	52.12	175	90	-170	85	80	0	11	6.31	39.561	1.5	1	0	1	2009	11	17	15	30
-142.47	66.82	200	85	15	109	75	175	11	4.41	155.23	1.5	1	0	1	2009	12	5	9	14
-113.17	47.43	330	53	-106	175	40	-70	23	3.79	339.79	0.5	1	0	1	2010	1	13	11	17
-142.2	66.24	158	80	-165	65	75	-10	14	4.13	21.168	1.5	1	0	1	2010	2	19	7	18
-150.33	65.93	114	76	-164	20	75	-15	15	3.87	336.83	1.5	1	1	1	2010	3	16	12	23
-149.65	61.58	210	75	-75	344	21	-134	44	4.51	26.033	0.5	0	0	1	2010	4	7	16	19
-146.74	61.6	35	70	-75	177	25	-125	51	4.49	209.76	0.5	0	0	1	2010	4	10	9	47
-147.73	61.9	245	80	-70	1	22	-153	35	4.33	999	0	0	0	1	2010	6	25	4	56
-150.5	61.8	210	75	70	85	25	142	22	4.69	315.79	2.5	1	0	1	2010	7	8	3	15
-133.89	65.01	55	75	20	320	71	164	11	4.59	186.71	1.5	1	0	1	2010	8	7	21	46
-149.22	61.9	39	64	146	145	60	30	15	4.17	93.068	2	1	0	1	2010	8	8	21	12
-125.82	62.86	310	85	-60	49	30	-170	11	3.93	999	0	1	0	1	2010	9	4	0	23
-145.09	63.35	132	51	124	265	50	55	13	4.09	198.71	2.5	1	0	1	2010	9	5	10	41
-125.22	62.62	260	75	-40	2	52	-161	12	3.6	45.92	1.5	1	0	1	2010	9	13	10	7
-153.18	59.86	70	75	45	325	47	159	114	4.66	191.61	2	0	1	1	2010	9	15	16	6
-150.22	61.12	185	80	-85	338	11	-116	48	4.81	4.1296	0.5	0	0	1	2010	9	20	21	24
-149.51	62.85	7	69	148	110	60	25	89	5.37	59.953	1.5	0	0	1	2010	9	25	12	6
-140.63	60.35	87	74	-143	345	55	-20	13	4.15	302.32	1.5	1	0	1	2010	10	14	12	59
-146.19	69.19	15	75	30	277	61	163	21	5.02	143.33	1.5	1	0	1	2010	11	7	0	43
-150.58	63.2	9	77	128	115	40	20	134	4.62	999	0	0	0	1	2010	11	14	4	59
-135.15	59.36	359	55	87	185	35	95	0	4.35	91.153	2.5	1	0	1	2010	12	10	5	42
-134.93	65.22	140	85	-175	50	85	-5	9	4.02	184.78	1.5	1	0	1	2010	12	12	0	27
-150.27	62.28	235	67	136	345	50	30	20	3.71	293.89	2	1	0	1	2010	12	14	2	22
-151.44	63.33	5	75	40	263	52	161	16	4.28	129.08	1.5	1	0	1	2010	12	17	12	1
-133.44	65.22	290	59	106	80	35	65	10	4.04	8.4789	2.5	1	0	1	2010	12	30	1	49
-135.15	59.36	0	45	90	180	45	90	2	3.79	90	2.5	1	1	1	2011	1	8	19	33
-150.87	63.54	185	90	-10	275	80	-180	16	5.08	320.44	1.5	1	0	1	2011	1	23	2	50
-140.53	61.6	260	90	-20	350	70	-180	21	4.07	36.781	1.5	1	0	1	2011	2	26	11	8
-151.48	62.66	80	80	-50	182	41	-165	108	4.35	999	0	0	0	1	2011	3	25	14	19
-147.46	64.02	122	61	98	285	30	75	13	3.44	206.13	2.5	1	0	1	2011	3	30	0	56
-131	63.96	60	90	-10	150	80	-180	11	4.15	195.44	1.5	1	0	1	2011	4	22	0	6
-152.53	59.06	324	67	153	65	65	25	63	4.96	14.939	1.5	0	0	1	2011	4	25	19	29
-166.89	65.37	120	50	-75	277	42	-107	9	4.7	290.23	0.5	1	0	1	2011	5	21	8	33
-151.32	63.4	225	70	70	92	28	133	12	3.88	330.17	2.5	1	1	1	2011	5	28	13	44
-151.08	60.77	45	75	20	310	71	164	74	4.99	176.71	1.5	0	0	1	2011	6	16	19	6
-148.26	62.08	70	50	-60	208	48	-121	46	4.09	229.64	0.5	0	0	1	2011	6	18	20	40
-150.84	63.11	55	75	85	254	16	108	132	4.31	149.07	2.5	0	0	1	2011	7	2	11	45
-152.8	60.24	259	71	114	25	30	40	124	4.19	330.88	2.5	0	0	1	2011	7	4	3	57
-152.83	60.03	55	60	40	302	56	143	116	4.28	177.83	2	0	0	1	2011	7	21	6	20
-123.18	47.71	285	50	-60	63	48	-121	45	3.79	84.639	0.5	1	0	1	2011	7	24	12	19
-151.3	62.05	348	70	105	130	25	55	84	5.23	66.482	2.5	0	0	1	2011	7	28	14	0
-124.15	62.06	157	50	94	330	40	85	4	4.05	244.16	2.5	1	0	1	2011	7	30	16	8
-141.28	62.11	329	85	170	60	80	5	13	4.14	14.109	1.5	1	0	1	2011	8	3	6	8
-151.47	58.26	15	57	-123	245	45	-50	40	4.4	34.478	0.5	0	0	1	2011	8	8	16	0
-122.4	49.54	118	80	-165	25	75	-10	16	3.33	341.17	1.5	1	0	1	2011	8	12	6	2
-138.02	59.06	95	70	30	354	62	157	14	4.57	222.94	1.5	1	0	1	2011	9	15	2	6
-152.5	63.24	45	60	109	190	35	60	7	3.88	121.33	2.5	1	0	1	2011	9	24	10	52
-126.28	63.43	320	60	90	140	30	90	3	5.04	50	2.5	1	0	1	2011	9	26	1	2
-151.91	61.48	45	60	55	279	45	135	13	3.96	159.21	2.5	1	0	1	2011	10	22	14	32
-119.61	48.47	85	55	65	304	42	121	13	4.01	192.52	2.5	1	0	1	2011	11	18	13	9
-150.58	61.23	360	60	125	125	45	45	2	1.64	65.789	2.5	1	0	1	2011	11	23	7	9
-140.21	60.01	249	58	138	5	55	40	7	3.71	307.29	2	1	0	1	2011	11	27	2	21
-150.93	61.97	0	60	75	208	33	114	20	4.19	100.86	2.5	1	0	1	2011	12	3	9	33
-145.65	62.25	324	69	112	95	30	45	19	4.38	37.515	2.5	1	0	1	2011	12	9	1	25
-138.03	59.08	295	65	40	185	54	149	15	4.28	58.036	2	1	0	1	2012	1	4	16	25
-147.42	63.59	71	79	101	205	15	45	15	3.89	151.73	2.5	1	0	1	2012	1	28	18	11
-128.67	64.26	318	50	86	145	40	95	2	4.39	50.838	2.5	1	0	1	2012	3	2	23	29
-150.91	61.01	43	78	118	155	30	25	30	4.06	999	0	1	0	1	2012	3	8	10	57
-150.06	61.31	185	70	-70	318	28	-133	51	3.85	357.9	0.5	0	0	1	2012	3	21	7	42
-152.69	62.4	222	51	124	355	50	55	14	3.86	288.71	2.5	1	0	1	2012	6	5	11	19
-147.88	62.23	255	60	-40	8	56	-143	51	4.22	42.173	1	0	0	1	2012	6	8	18	27
-113.14	47.35	189	46	-80	355	45	-100	21	3.4	2.0168	0.5	1	0	1	2012	6	25	4	4
-150.19	65.97	225	90	-5	315	85	-180	15	3.63	0.10922	1.5	1	0	1	2012	6	27	8	19
-148.31	62.47	214	55	-93	40	35	-85	79	3.7	215.72	0.5	0	0	1	2012	6	28	5	58
-151.27	61.68	65	65	40	315	54	149	87	4.65	188.04	2	0	0	1	2012	7	6	1	22
-149.39	63.44	324	58	138	80	55	40	122	4.28	22.287	2	0	0	1	2012	7	10	4	6
-145.18	63.34	265	65	70	126	32	126	12	4.18	9.7029	2.5	1	0	1	2012	8	7	10	24
-147.54	60.35	182	61	-118	50	40	-50	27	4.58	196.45	0.5	0	0	1	2012	8	9	16	43
-148.4	63.92	82	67	101	235	25	65	17	3.81	163.68	2.5	1	0	1	2012	8	24	21	58
-147.74	63.53	70	50	95	242	40	84	18	4.1	156.45	2.5	1	0	1	2012	8	28	15	34
-150.74	60.33	281	72	154	20	65	20	72	4.53	331.4	1.5	0	0	1	2012	8	29	12	50
-147.75	65.97	88	80	170	180	80	10	14	4	133.89	1.5	1	0	1	2012	8	31	5	3
-135.61	66.84	359	82	145	95	55	10	26	3.88	51.566	1.5	1	0	1	2012	9	1	10	57
-153.16	59.62	65	65	55	304	42	141	122	4.09	179.61	2.5	0	0	1	2012	9	13	5	58
-154.14	56.94	143	86	-150	50	60	-5	42	5.08	2.9903	1.5	0	0	1	2012	9	18	1	44
-148.36	63.78	82	61	96	250	30	80	17	3.52	167.59	2.5	1	0	1	2012	10	25	12	57
-150.72	61.49	195	65	-70	334	32	-126	66	4.42	6.2553	0.5	0	0	1	2012	10	30	22	2
-146.55	62.05	240	75	20	145	71	164	72	4.14	11.706	1.5	0	0	1	2012	10	31	2	57
-154.12	58.42	65	85	55	328	35	171	92	5.33	999	0	0	0	1	2012	12	1	8	0
-150.77	61.24	320	70	142	65	55	25	63	5.7	15.586	2	0	0	1	2012	12	4	1	42
-136.37	68.09	230	60	-50	351	48	-138	8	4.72	27.24	0.5	1	0	1	2012	12	11	5	12
-150.9	63.51	281	81	155	15	65	10	15	3.51	330.3	1.5	1	0	1	2012	12	18	3	17
-150.76	61.24	188	82	-114	80	25	-20	70	4.19	999	0	0	1	1	2012	12	24	17	28
-141.14	61.56	245	85	65	144	25	168	10	4.09	999	0	1	0	1	2012	12	31	11	38
-151.33	63.31	25	80	25	290	65	169	17	4.1	155.58	1.5	1	0	1	2013	1	20	22	3
-144.46	65.52	205	90	-45	295	45	-180	15	3.9	999	0	1	0	1	2013	2	1	21	3
-149.31	64.1	359	54	-110	210	40	-65	155	4.7	11.076	0.5	0	0	1	2013	2	26	9	32
-154.21	59.31	314	76	-164	220	75	-15	14	4.94	176.83	1.5	1	0	1	2013	3	10	17	11
-150.47	61.54	145	90	-155	55	65	0	71	4.22	7.1863	1.5	0	1	1	2013	3	10	21	5
-151.23	62.56	60	60	55	294	45	135	91	4.68	174.21	2.5	0	0	1	2013	3	13	8	5
-148.78	66.22	0	60	-65	137	38	-126	13	3.66	166.88	0.5	1	0	1	2013	4	7	9	34
-151.4	63.4	50	70	85	244	21	103	17	3.57	143.89	2.5	1	0	1	2013	4	8	11	57
-134.58	65.64	117	79	-123	10	35	-20	15	3.98	999	0	1	0	1	2013	5	15	7	10
-149.56	66.28	200	85	20	108	70	175	14	4.25	155.8	1.5	1	0	1	2013	5	25	8	29
-120.57	56.2	314	46	100	120	45	80	2	3.99	36.947	2.5	1	0	1	2013	5	28	4	36
-149.69	64.64	25	85	20	293	70	175	9	3.79	340.8	1.5	1	0	1	2013	6	5	18	58
-149.96	60.89	220	55	-80	23	36	-104	42	3.81	34.225	0.5	0	0	1	2013	6	14	11	53
-149.84	61.44	215	50	-70	5	44	-112	46	4.07	21.832	0.5	0	0	1	2013	6	19	7	19
-145.69	62.23	333	76	111	95	25	35	19	4.54	46.322	2.5	1	0	1	2013	6	20	23	6
-120.69	47.82	306	64	134	60	50	35	12	3.75	6.2242	2	1	0	1	2013	6	27	2	45
-150.02	61.33	200	65	-35	306	59	-150	58	4.31	344.51	1	0	1	1	2013	6	27	11	40
-149.5	62.16	205	65	-45	318	50	-147	60	3.84	354.6	1	0	0	1	2013	7	3	19	34
-152.03	62.58	315	50	60	177	48	121	15	3.71	65.707	2.5	1	0	1	2013	7	4	2	59
-145.77	62.25	337	73	132	85	45	25	19	3.64	37.31	2	1	1	1	2013	7	5	9	51
-124.12	62.04	342	56	113	125	40	60	14	4.62	55.787	2.5	1	0	1	2013	7	12	19	59
-141.08	61.57	291	47	105	90	45	75	11	4.33	10.453	2.5	1	0	1	2013	7	14	8	15
-141.06	61.56	275	60	75	123	33	114	9	3.64	15.861	2.5	1	0	1	2013	7	14	16	4
-144.5	69.18	10	80	-35	107	56	-168	12	4.11	152.93	1.5	1	0	1	2013	7	17	6	36
-144.6	69.16	104	85	170	195	80	5	13	4	149.11	1.5	1	1	1	2013	7	18	14	41
-148.71	62.92	205	70	80	52	22	116	16	3.67	302.75	2.5	1	0	1	2013	7	24	18	16
-151.75	58.02	220	50	-90	40	40	-90	40	4.52	220	0.5	0	0	1	2013	7	26	20	37
-152.92	60.14	307	69	148	50	60	25	130	4.81	359.95	1.5	0	0	1	2013	8	1	21	32
-149.86	61.44	220	70	-60	341	36	-144	48	3.94	28.83	0.5	0	1	1	2013	8	4	7	57
-141.1	67.73	307	85	-160	215	70	-5	16	3.87	169.49	1.5	1	0	1	2013	8	16	22	55
-122.72	47.37	169	58	138	285	55	40	2	3.24	227.29	2	1	0	1	2013	8	20	18	41
-141.09	61.57	265	55	80	102	36	104	8	4.36	2.1514	2.5	1	1	1	2013	8	23	21	28
-150.6	63.2	16	87	110	115	20	10	137	4.85	999	0	0	0	1	2013	8	27	21	41
-144.48	69.21	120	85	-175	30	85	-5	11	4.48	164.78	1.5	1	0	1	2013	9	1	22	52
-144.54	69.18	220	90	-5	310	85	-180	13	3.96	355.11	1.5	1	1	1	2013	9	5	20	11
-149.51	61.35	143	57	-130	20	50	-45	45	3.99	167.56	0.5	0	0	1	2013	9	11	1	2
-152.83	59.77	205	81	-150	110	60	-10	19	4.07	64.093	1.5	1	0	1	2013	9	12	4	41
-137.3	58.48	286	76	-86	90	15	-105	20	3.78	105.03	0.5	1	0	1	2013	10	3	7	47
-150.57	62.91	295	60	65	158	38	126	108	4.07	42.764	2.5	0	0	1	2013	10	6	13	42
-139.01	65.03	65	90	-10	155	80	-180	20	3.86	200.44	1.5	1	0	1	2013	10	13	8	26
-150.49	62.03	160	81	-94	5	10	-65	64	4.36	999	0	0	0	1	2013	11	7	5	13
-150.91	63.07	240	82	-96	95	10	-55	132	4.66	999	0	0	1	1	2013	11	12	18	16
-139	59.51	298	61	-98	135	30	-75	16	4.05	301.9	0.5	1	0	1	2013	11	19	14	44
-151.51	63.15	180	65	65	48	35	132	14	3.65	288.15	2.5	1	0	1	2013	12	10	16	35
-141.67	60.26	103	71	107	240	25	50	11	4.03	179.9	2.5	1	0	1	2013	12	24	20	56
-149.34	62.24	210	60	-75	2	33	-114	60	4.03	22.369	0.5	0	0	1	2014	1	10	4	17
-151.75	58.12	335	90	-150	245	60	0	41	4.16	999	0	0	0	1	2014	1	31	21	20
-152.55	64.43	288	71	159	25	70	20	11	3.6	336.69	1.5	1	0	1	2014	2	9	11	5
-146.93	67.57	40	90	-20	130	70	-180	15	3.92	176.78	1.5	1	0	1	2014	2	10	2	44
-138.37	60.91	116	65	92	290	25	85	16	4.04	204.5	2.5	1	0	1	2014	2	25	20	24
-149.46	62.08	200	65	-75	348	29	-119	52	4.34	13.539	0.5	0	0	1	2014	3	5	3	13
-150.69	61.03	190	75	-80	336	18	-123	58	3.94	7.387	0.5	0	0	1	2014	3	9	16	11
-153.17	59.29	65	75	45	320	47	159	85	4.68	186.61	2	0	0	1	2014	3	12	8	43
-149.84	66.27	298	80	170	30	80	10	14	3.76	343.89	1.5	1	0	1	2014	3	25	22	26
-151.22	62.22	351	85	120	90	30	10	88	4.95	999	0	0	0	1	2014	3	30	1	32
-124.52	62.29	310	55	75	155	38	110	6	4.22	50.674	2.5	1	0	1	2014	3	31	16	30
-149.91	62.89	100	85	25	8	65	174	86	4.94	231.26	1.5	0	0	1	2014	4	16	20	24
-144.95	63.4	275	55	65	134	42	121	13	3.99	22.517	2.5	1	0	1	2014	4	18	23	4
-150.55	62.86	160	60	40	47	56	143	102	4	282.83	2	0	1	1	2014	4	23	7	57
-149.17	63.81	306	54	110	95	40	65	126	3.96	21.897	2.5	0	0	1	2014	4	27	12	46
-149.56	60.65	60	55	-65	201	42	-121	46	4.51	225.03	0.5	0	0	1	2014	5	5	4	59
-136.6	59.77	265	75	20	170	71	164	18	3.86	36.706	1.5	1	0	1	2014	5	9	18	9
-152.13	60.01	102	48	109	255	45	70	88	5.64	178.69	2.5	0	0	1	2014	5	10	14	16
-141.38	59.86	262	45	95	75	45	85	12	3.65	168.47	2.5	1	0	1	2014	5	16	0	49
-136.73	58.98	350	55	120	125	45	55	15	5.57	59.195	2.5	1	0	1	2014	6	4	11	58
-140.25	61.18	70	80	25	335	65	169	14	5.05	200.58	1.5	1	0	1	2014	6	5	5	37
-140.28	61.17	70	80	20	336	70	169	14	5.06	201.98	1.5	1	0	1	2014	6	5	5	44
-149.41	62.84	85	90	-10	175	80	-180	89	3.94	220.44	1.5	0	1	1	2014	6	5	14	41
-140.69	61.52	110	75	60	356	33	152	12	3.73	999	0	1	0	1	2014	6	5	22	52
-150.73	62.76	341	64	134	95	50	35	98	4.45	41.224	2	0	0	1	2014	6	17	9	3
-148.13	63.48	70	75	75	296	21	134	14	3.94	172.02	2.5	1	0	1	2014	6	17	14	37
-149.31	63.13	110	75	25	13	66	164	86	4.23	240.13	1.5	0	0	1	2014	6	20	1	6
-150.92	61.41	315	73	148	55	60	20	92	4	7.6507	1.5	0	0	1	2014	6	27	14	14
